lat,lng,location
38.9517053,-92.3340724,"Columbia, MO, USA"
37.8715226,-122.273042,"Berkeley, CA, USA"
37.8715226,-122.273042,"Berkeley, California, USA"
42.3732216,-72.5198537,"Amherst, MA, USA"
42.2808256,-83.7430378,"Ann Arbor, MI, USA"
33.748752,-84.38768449999999,"Atlanta, GA, USA"
40.1856597,-75.451571,"Collegeville, PA, USA"
25.7491968,-80.2635411,"Coral Gables, FL, USA"
37.3229978,-122.0321823,"Cupertino, CA, USA"
38.5449065,-121.7405167,"Davis, CA, USA"
43.30330559999999,-91.7857092,"Decorah, IA, USA"
41.1408363,-73.2612615,"Fairfield,CT, USA"
41.1408363,-73.2612615,"Fairfield, CT, USA"
47.9252568,-97.0328547,"Grand Fork, ND, USA"
44.5133188,-88.0132958,"Green Bay, WI, USA"
34.0966764,-117.7197785,"Claremont, CA, USA"
34.0966764,-117.7197785,"Claremont, California, USA"
39.6444898,-86.8647316,"Greencastle, IN, USA"
42.3600825,-71.0588801,"Boston, MA, USA"
43.7022451,-72.2895526,"Hanover, NH, USA"
38.4495688,-78.8689155,"Harrisonburg, VA, USA"
42.3736158,-71.10973349999999,"Cambridge, MA, USA"
30.267153,-97.7430608,"Austin, TX, USA."
30.267153,-97.7430608,"Austin, TX, USA"
40.4842027,-88.99368729999999,"Bloomington, IL, USA"
39.165325,-86.52638569999999,"Bloomington, IN, USA"
38.2526647,-85.7584557,"Louisville, KY, USA"
41.308274,-72.9278835,"New Haven, CT, USA"
33.5778631,-101.8551665,"Lubbock, TX, USA"
41.7001908,-86.23793280000001,"Notre Dame, IN, USA"
37.8043514,-122.2711639,"Oakland, CA, USA"
37.886704,-122.2977557,"Albany, CA, USA"
42.6525793,-73.7562317,"Albany, NY, USA"
36.171563,-115.1391009,"Las Vegas, NV, USA"
39.6837226,-75.74965720000002,"Newark, DE, USA"
43.0721661,-89.4007501,"Madison, WI, USA"
42.3370413,-71.20922139999999,"Newton, MA, USA"
40.5142026,-88.9906312,"Normal, IL, USA"
41.2939386,-82.21737859999999,"Oberlin, OH, USA"
33.7879139,-117.8531007,"Orange, CA, USA"
40.3572976,-74.6672226,"Princeton, NJ, USA"
45.4215296,-75.69719309999999,"Ottawa, ON, Canada"
47.6062095,-122.3320708,"Seattle, WA, USA"
40.0149856,-105.2705456,"Boulder, CO, USA"
41.8239891,-71.4128343,"Providence, RI, USA"
46.7297771,-117.1817377,"Pullman, WA, USA"
37.7272727,-89.2167501,"Carbondale, IL, USA"
25.7616798,-80.1917902,"Miami, FL, USA"
41.5623209,-72.6506488,"Middletown, CT, USA"
40.0506453,-77.5202647,"Shippensburg, PA, USA"
40.7489277,-74.2609903,"South Orange, NJ, USA"
37.42410599999999,-122.1660756,"Stanford, CA, USA"
43.0389025,-87.9064736,"Milwaukee, WI, USA"
44.977753,-93.2650108,"Minneapolis, MN, USA"
34.0625106,-118.1228476,"Monterey Park, CA, USA"
39.629526,-79.95589679999999,"Morgantown, WV, USA"
46.73238749999999,-117.0001651,"Moscow, ID, USA"
41.6528052,-83.5378674,"Toledo, OH, USA"
43.653226,-79.3831843,"Toronto, ON, Canada"
36.1626638,-86.7816016,"Nashville, TN, USA"
33.4503998,-88.81838719999999,"Starkville, MS, USA"
34.0522342,-118.2436849,"Los Angeles, CA, USA"
40.7933949,-77.8600012,"State College, PA, USA"
30.4382559,-84.28073289999999,"Tallahassee, FL, USA"
35.8456213,-86.39027,"Murfreesboro, TN, USA"
35.0843859,-106.650422,"Albuquerque, NM, USA"
44.4582983,-93.161604,"Northfield, MN, United States"
39.9525839,-75.1652215,"Philadelphia, PA, USA"
27.950575,-82.4571776,"Tampa, FL, USA"
39.4014955,-76.6019125,"Towson, MD, USA"
40.7607793,-111.8910474,"Salt Lake City, UT, USA"
42.3764852,-71.2356113,"Waltham, MA, USA"
34.6834382,-82.8373654,"Clemson, SC, USA"
34.6834382,-82.8373654,"Clemson, South Carolina, USA"
38.9071923,-77.0368707,"Washington, D.C., USA"
43.1339545,-70.9264393,"Durham, NH, USA"
35.9940329,-78.898619,"Durham, NC, USA"
38.9071923,-77.0368707,"Washington, DC, USA"
38.5925524,-90.3573389,"Webster Groves, MO, USA"
37.2707022,-76.7074571,"Williamsburg, VA, USA"
36.09985959999999,-80.244216,"Winston-Salem, NC, USA"
42.0450722,-87.68769689999999,"Evanston, IL, USA"
42.97218609999999,-85.95402179999999,"Allendale Charter Twp, MI, USA"
33.9519347,-83.357567,"Athens, GA, USA"
39.3292396,-82.1012554,"Athens, OH, USA"
32.715738,-117.1610838,"San Diego, CA, USA"
32.6098566,-85.48078249999999,"Auburn, AL, USA"
44.4758825,-73.21207199999999,"Burlington, VT, USA"
41.49932,-81.6943605,"Cleveland, OH, USA"
34.0007104,-81.0348144,"Columbia, SC, USA"
38.403903,-96.1816626,"Emporia, KS, USA"
42.4184296,-71.1061639,"Medford, MA, USA"
45.5196767,-123.1121017,"Forest Grove, OR, USA"
40.5852602,-105.084423,"Fort Collins, CO, USA"
29.6516344,-82.32482619999999,"Gainesville, FL, USA"
40.94781580000001,-90.3712395,"Galesburg, IL, USA"
40.3759296,-82.397183,"Gambier, OH, USA"
49.2827291,-123.1207375,"Vancouver, BC, Canada"
46.0645809,-118.3430209,"Walla Walla, WA, USA"
42.2625932,-71.8022934,"Worcester, MA, USA"
42.795896,-77.816947,"Geneseo, NY, USA"
34.1425078,-118.255075,"Glendale, CA, USA"
47.12113309999999,-88.5694182,"Houghton, MI, USA"
41.6578257,-91.5346169,"Iowa City, IA, USA"
42.3250896,-72.64120129999999,"Northampton, MA, USA"
28.5383832,-81.3789269,"Orlando, FL, USA"
44.8831125,-68.6719411,"Orono, ME, USA"
39.5069974,-84.74523099999999,"Oxford, OH, USA"
37.13179239999999,-80.5764477,"Radford, VA, USA"
40.6936488,-89.5889864,"Peoria, IL, USA"
35.7795897,-78.6381787,"Raleigh, NC, USA"
40.44062479999999,-79.9958864,"Pittsburgh, PA, USA"
45.515232,-122.6783853,"Portland, OR, USA"
39.529919,-119.8142691,"Reno, NV, USA"
37.5407246,-77.4360481,"Richmond, VA, USA"
43.15657789999999,-77.6088465,"Rochester, NY, USA"
37.7749295,-122.4194155,"San Francisco, CA, USA"
29.8832749,-97.9413941,"San Marcos, TX, USA"
44.2619309,-88.41538469999999,"Appleton, WI, USA"
